tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,ok,,anchoak.wayport.net..txt,,41.382999999999996,0.009000000000000001,,,,,num_lec=463; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wayport.net/NS_UPDATE/stderr.log
Aether,files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,ok,,corp.aus.wayport.net..txt,,37.001000000000005,0.010000000000000002,,,,,num_lec=463; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wayport.net/CNAME_UPDATE/stderr.log
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,ok,,42ndstreet.wblogin.com..txt,,21.743999999999996,0.23299999999999998,,,,,num_lec=399; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/A_ADD/stderr.log
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,ok,,42ndstreet.wblogin.com..txt,,24.076,0.258,,,,,num_lec=398; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/A_UPDATE/stderr.log
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,ok,,wblogin.com..txt,,24.295,0.245,,,,,num_lec=398; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/NS_UPDATE/stderr.log
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,ok,,aldertrootes.wcpss.net..txt,,21.643000000000004,0.078,,,,,num_lec=246; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/A_ADD/stderr.log
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,ok,,aldertrootes.wcpss.net..txt,,18.893,0.006,,,,,num_lec=245; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/A_UPDATE/stderr.log
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,ok,,aldertrootes.wcpss.net..txt,,21.569,0.006,,,,,num_lec=245; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/NS_UPDATE/stderr.log
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,CNAME_UPDATE,error,,,,,,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/CNAME_UPDATE/stderr.log
Aether,files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,ok,,1lokrasnystaw.webd.pl..txt,,173.82899999999998,0.689,,,,,num_lec=2242; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/A_ADD/stderr.log
Aether,files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,166.358,1.071,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/A_UPDATE/stderr.log
Aether,files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,129.05599999999998,0.5630000000000001,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/NS_UPDATE/stderr.log
