group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,NS_UPDATE,0.009000000000000001,0.766163,0.974059,85.12922222222221,108.22877777777776
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,CNAME_UPDATE,0.11800000000000001,0.386732,1.036561,3.2773898305084743,8.784415254237288
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,A_ADD,0.266,0.172146,0.321568,0.6471654135338345,1.2089022556390978
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,A_UPDATE,0.008,0.481083,0.559617,60.135374999999996,69.95212500000001
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,NS_UPDATE,0.009000000000000001,0.926192,1.296655,102.91022222222222,144.07277777777776
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,CNAME_UPDATE,0.081,0.892183,2.346406,11.014604938271605,28.967975308641975
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,A_ADD,0.9530000000000001,0.154199,0.284664,0.16180377754459602,0.29870304302203565
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,A_UPDATE,0.851,0.426336,0.366192,0.5009823736780259,0.4303078730904818
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,NS_UPDATE,0.733,0.397374,0.471356,0.5421200545702592,0.6430504774897681
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,A_ADD,0.9430000000000001,0.169856,0.314881,0.18012301166489925,0.33391410392364795
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,A_UPDATE,0.793,0.404253,0.582167,0.5097767969735182,0.7341324085750315
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,NS_UPDATE,0.839,0.434158,0.503137,0.5174707985697259,0.5996865315852205
top-10,com.cn,top-10/com.cn,rewrite-heavy,A_ADD,0.654,0.168242,0.392421,0.2572507645259939,0.6000321100917432
top-10,com.cn,top-10/com.cn,rewrite-heavy,A_UPDATE,0.009000000000000001,0.830572,1.034231,92.28577777777777,114.91455555555554
top-10,com.cn,top-10/com.cn,rewrite-heavy,NS_UPDATE,0.010000000000000002,0.787109,1.046503,78.71089999999998,104.65029999999997
top-10,com.mx,top-10/com.mx,delegation-heavy,A_ADD,0.595,0.270887,0.678343,0.455272268907563,1.140072268907563
top-10,com.mx,top-10/com.mx,delegation-heavy,A_UPDATE,0.009000000000000001,0.920126,2.345798,102.23622222222221,260.6442222222222
top-10,com.mx,top-10/com.mx,delegation-heavy,NS_UPDATE,0.011000000000000001,0.751039,1.297491,68.27627272727273,117.95372727272725
top-10,com.mx,top-10/com.mx,delegation-heavy,CNAME_UPDATE,0.013999999999999999,0.90044,2.379729,64.31714285714287,169.9806428571429
top-10,com.np,top-10/com.np,rewrite-heavy,A_ADD,1.8899999999999997,0.2588,0.351009,0.13693121693121693,0.18571904761904767
top-10,com.np,top-10/com.np,rewrite-heavy,A_UPDATE,1.4689999999999999,1.035111,1.151923,0.704636487406399,0.7841545268890403
top-10,com.np,top-10/com.np,rewrite-heavy,NS_UPDATE,1.65,0.867769,0.829776,0.5259206060606061,0.5028945454545455
