group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,aether_initial_ms,aether_incremental_ms,veridns_initial_ms,veridns_incremental_ms,veridns_full_update_ms,properties,aether_initial_pass,aether_incremental_pass,aether_errors,veridns_initial_pass,veridns_incremental_pass,veridns_errors,veridns_matches_aether,oracle,detail
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,ok,148,w3wb.com..txt,590,71.719,5.9990000000000006,63.907301000000004,7.962303,34.775051,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,false,rewrites,False,False,rewrite_blackholing,False,Aether,aether=num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__w3wb.com/CNAME_UPDATE/stderr.log; veridns=
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,ok,135,agencymeddirectors.wa.gov..txt,1554,133.878,0.674,123.67711599999996,0.957635,0.726088,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1304; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__wa.gov/A_ADD/stderr.log; veridns=
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,ok,135,agencymeddirectors.wa.gov..txt,1554,120.30799999999999,0.701,123.67711599999996,0.688277,0.680153,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__wa.gov/A_UPDATE/stderr.log; veridns=
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,ok,135,agencymeddirectors.wa.gov..txt,1554,134.67499999999998,0.504,123.67711599999996,0.539118,0.537005,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation|rewrite_blackholing,False,Aether,aether=num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__wa.gov/NS_UPDATE/stderr.log; veridns=
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,ok,135,agencymeddirectors.wa.gov..txt,1554,129.58,0.366,123.67711599999996,0.737125,0.901736,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__wa.gov/CNAME_UPDATE/stderr.log; veridns=
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,ok,211,alimonyillinois.warriorhall.com..txt,1053,57.07899999999999,0.616,127.36364599999999,0.214003,0.257854,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=1055; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__warriorhall.com/A_ADD/stderr.log; veridns=
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,ok,211,alimonyillinois.warriorhall.com..txt,1053,59.244,0.457,127.36364599999999,0.228614,0.167389,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=1054; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__warriorhall.com/A_UPDATE/stderr.log; veridns=
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,ok,211,alimonyillinois.warriorhall.com..txt,1053,56.899,0.47100000000000003,127.36364599999999,0.220672,0.20557,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation,False,Aether,aether=num_lec=1054; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__warriorhall.com/NS_UPDATE/stderr.log; veridns=
files-100-500,warriorhall.com,files-100-500/warriorhall.com,CNAME_UPDATE,skipped,,,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,,,,,aether=no CNAME record; veridns=no CNAME record
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,ok,275,12lo.warszawa.pl..txt,5812,452.72,0.854,266.07741100000004,0.532436,0.651297,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=3560; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__warszawa.pl/A_ADD/stderr.log; veridns=
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,ok,275,12lo.warszawa.pl..txt,5812,428.029,0.427,266.07741100000004,0.547698,0.65985,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=3559; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__warszawa.pl/A_UPDATE/stderr.log; veridns=
