tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,A_ADD,ok,,3cministries.weblog.com..txt,,171.14799999999997,1.236,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2830; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__weblog.com/A_ADD/stderr.log
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,A_UPDATE,ok,,3cministries.weblog.com..txt,,174.52200000000002,0.681,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2829; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__weblog.com/A_UPDATE/stderr.log
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,NS_UPDATE,ok,,3cministries.weblog.com..txt,,160.12800000000001,0.653,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2829; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__weblog.com/NS_UPDATE/stderr.log
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
Aether,files-500-1000,wisc.edu,files-500-1000/wisc.edu,A_ADD,ok,,333ecm.wisc.edu..txt,,700.62,1.8519999999999999,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5451; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wisc.edu/A_ADD/stderr.log
Aether,files-500-1000,wisc.edu,files-500-1000/wisc.edu,A_UPDATE,ok,,333ecm.wisc.edu..txt,,618.1289999999999,0.554,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5450; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wisc.edu/A_UPDATE/stderr.log
Aether,files-500-1000,wisc.edu,files-500-1000/wisc.edu,NS_UPDATE,ok,,333ecm.wisc.edu..txt,,560.332,0.62,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5450; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wisc.edu/NS_UPDATE/stderr.log
Aether,files-500-1000,wisc.edu,files-500-1000/wisc.edu,CNAME_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wisc.edu/CNAME_UPDATE/stderr.log
Aether,files-500-1000,wopert.com,files-500-1000/wopert.com,A_ADD,ok,,0cob9yz.wopert.com..txt,,114.79299999999999,0.205,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=2008; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wopert.com/A_ADD/stderr.log
Aether,files-500-1000,wopert.com,files-500-1000/wopert.com,A_UPDATE,ok,,0cob9yz.wopert.com..txt,,124.31800000000001,0.115,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=2007; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wopert.com/A_UPDATE/stderr.log
Aether,files-500-1000,wopert.com,files-500-1000/wopert.com,NS_UPDATE,ok,,wopert.com..txt,,115.57100000000001,0.277,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=2007; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wopert.com/NS_UPDATE/stderr.log
Aether,files-500-1000,wopert.com,files-500-1000/wopert.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
Aether,files-500-1000,wroc.pl,files-500-1000/wroc.pl,A_ADD,ok,,2012.wroc.pl..txt,,651.2819999999999,0.8130000000000001,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5024; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wroc.pl/A_ADD/stderr.log
Aether,files-500-1000,wroc.pl,files-500-1000/wroc.pl,A_UPDATE,ok,,2012.wroc.pl..txt,,690.2339999999999,0.741,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5023; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wroc.pl/A_UPDATE/stderr.log
Aether,files-500-1000,wroc.pl,files-500-1000/wroc.pl,NS_UPDATE,ok,,2012.wroc.pl..txt,,616.2810000000001,0.788,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5023; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wroc.pl/NS_UPDATE/stderr.log
Aether,files-500-1000,wroc.pl,files-500-1000/wroc.pl,CNAME_UPDATE,ok,,accord.wroc.pl..txt,,767.8449999999999,0.888,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=5023; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_500_1000/aether_cases/files-500-1000__wroc.pl/CNAME_UPDATE/stderr.log
