add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.A,True,,11025,15607
QueryType.A,True,,7949,12307
QueryType.A,True,,8538,12962
QueryType.A,True,,9865,14255
QueryType.A,True,,8192,12671
QueryType.A,True,,8194,12760
QueryType.A,True,,10011,14534
QueryType.A,True,,9760,14422
QueryType.A,True,,21202,25724
QueryType.A,True,,8789,13311
QueryType.A,True,,7103,11560
QueryType.A,True,,13216,17781
QueryType.A,True,,7433,12951
QueryType.A,True,,9091,13502
QueryType.A,True,,10473,15042
QueryType.A,True,,8660,13107
QueryType.A,True,,10859,15389
QueryType.A,True,,7548,12104
QueryType.A,True,,10180,14669
QueryType.A,True,,7589,12009
QueryType.A,True,,7690,12090
QueryType.A,True,,11955,16269
QueryType.A,True,,7323,11776
QueryType.A,True,,8875,13612
QueryType.A,True,,7558,12089
QueryType.A,True,,8156,12580
QueryType.A,True,,10346,14752
QueryType.A,True,,8493,13297
QueryType.A,True,,9147,21711
QueryType.A,True,,9062,13448
QueryType.A,True,,7845,12298
QueryType.A,True,,8949,13378
QueryType.A,True,,7711,12362
QueryType.A,True,,7363,11850
QueryType.A,True,,9242,13916
QueryType.A,True,,10095,16942
QueryType.A,True,,10170,14708
QueryType.A,True,,8928,13313
QueryType.A,True,,7385,11790
QueryType.A,True,,9574,14731
QueryType.A,True,,7654,12114
QueryType.A,True,,9289,13859
QueryType.A,True,,10787,15666
QueryType.A,True,,9079,13596
QueryType.A,True,,9318,13899
QueryType.A,True,,8294,13083
QueryType.A,True,,9581,14137
QueryType.A,True,,7937,12467
QueryType.A,True,,7951,12414
QueryType.A,True,,12368,16651
QueryType.A,True,,7599,12180
