tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,top-10,co.kr,top-10/co.kr,A_ADD,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/input.csv'], 60.0)"
Aether,top-10,com.ua,top-10/com.ua,A_ADD,ok,,003.com.ua..txt,,31774.988,0.496,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=187626; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.ua/A_ADD/stderr.log
Aether,top-10,com.ua,top-10/com.ua,A_UPDATE,ok,,003.com.ua..txt,,31715.183,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=187625; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.ua/A_UPDATE/stderr.log
Aether,top-10,com.ua,top-10/com.ua,NS_UPDATE,ok,,003.com.ua..txt,,31994.15,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=187625; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.ua/NS_UPDATE/stderr.log
Aether,top-10,com.ua,top-10/com.ua,CNAME_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.ua/CNAME_UPDATE/stderr.log
Aether,top-10,gov.cn,top-10/gov.cn,A_ADD,ok,,0375.gov.cn..txt,,11740.079,0.581,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=65961; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__gov.cn/A_ADD/stderr.log
Aether,top-10,gov.cn,top-10/gov.cn,A_UPDATE,ok,,0375.gov.cn..txt,,10269.758,0.014,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=65960; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__gov.cn/A_UPDATE/stderr.log
Aether,top-10,gov.cn,top-10/gov.cn,NS_UPDATE,ok,,0375.gov.cn..txt,,10194.669,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=65960; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__gov.cn/NS_UPDATE/stderr.log
Aether,top-10,gov.cn,top-10/gov.cn,CNAME_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__gov.cn/CNAME_UPDATE/stderr.log
Aether,top-10,net.au,top-10/net.au,A_ADD,ok,,1001.net.au..txt,,15060.799,0.453,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=92740; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__net.au/A_ADD/stderr.log
Aether,top-10,net.au,top-10/net.au,A_UPDATE,ok,,1001.net.au..txt,,15267.587,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=92739; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__net.au/A_UPDATE/stderr.log
Aether,top-10,net.au,top-10/net.au,NS_UPDATE,ok,,1001.net.au..txt,,15032.477,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=92739; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__net.au/NS_UPDATE/stderr.log
Aether,top-10,net.au,top-10/net.au,CNAME_UPDATE,ok,,108.net.au..txt,,15060.31,0.144,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=92739; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__net.au/CNAME_UPDATE/stderr.log
Aether,top-10,org.br,top-10/org.br,A_ADD,ok,,123s.org.br..txt,,12400.067000000001,0.387,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=77607; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__org.br/A_ADD/stderr.log
Aether,top-10,org.br,top-10/org.br,A_UPDATE,ok,,15gemarj.org.br..txt,,12527.074999999999,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=77606; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__org.br/A_UPDATE/stderr.log
Aether,top-10,org.br,top-10/org.br,NS_UPDATE,ok,,123s.org.br..txt,,12346.697999999999,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=77606; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__org.br/NS_UPDATE/stderr.log
Aether,top-10,org.br,top-10/org.br,CNAME_UPDATE,ok,,123s.org.br..txt,,12366.782000000001,0.089,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=77606; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__org.br/CNAME_UPDATE/stderr.log
